  5, 0, 0, 0, 0, 1, 8, 3, 46, 0, 0, 0, 0, 0, 1, 7, 11, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 72, 140, 20, 140, 28, 0, 0, 4, 23, 32, 64, 103, 24, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 59, 25, 86, 112, 107, 5, 110, 140, 14, 27, 96, 54, 12, 9, 94, 140, 2, 1, 0, 0, 0, 0, 8, 9, 0, 0, 0, 0, 0, 0, 1, 32, 140, 39, 20, 4, 44, 8, 35, 46, 55, 80, 40, 5, 42, 74, 140, 93, 2, 2, 0, 0, 3, 110, 27, 5, 0, 0, 0, 0, 0, 5;
  1, 0, 0, 0, 3, 131, 72, 1, 6, 0, 0, 0, 2, 61, 21, 54, 7, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35, 19, 43, 100, 131, 22, 2, 104, 4, 1, 16, 60, 80, 30, 131, 62, 1, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 1, 8, 95, 117, 84, 40, 11, 8, 3, 131, 55, 16, 40, 25, 0, 2, 41, 119, 12, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 24, 5, 0, 79, 131, 31, 125, 10, 6, 3, 0, 0, 77, 131, 55, 2, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0;
  8, 28, 39, 55, 31, 50, 34, 3, 139, 139, 13, 1, 10, 8, 0, 9, 72, 26, 0, 0, 2, 14, 6, 4, 0, 0, 0, 0, 0, 9, 5, 0, 22, 3, 1, 49, 139, 46, 35, 7, 139, 32, 5, 11, 37, 4, 0, 49, 93, 15, 61, 31, 0, 0, 0, 11, 0, 0, 9, 1, 0, 0, 0, 0, 17, 10, 2, 139, 114, 7, 8, 9, 139, 112, 10, 25, 15, 3, 8, 60, 32, 28, 52, 86, 32, 31, 16, 13, 0, 0, 6, 3, 1, 1, 0, 0, 2, 0, 0, 25, 21, 59, 139, 45, 37, 4, 0, 1, 1, 3, 87, 139, 8, 1, 0, 1, 5, 29, 49, 44, 0, 0, 0, 0, 0, 0, 0, 0;
  0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 32, 140, 4, 3, 3, 0, 0, 7, 140, 28, 2, 7, 71, 54, 20, 49, 55, 0, 0, 0, 0, 0, 14, 17, 0, 99, 7, 0, 0, 0, 50, 91, 33, 140, 65, 19, 37, 11, 7, 16, 72, 15, 10, 45, 140, 52, 20, 5, 5, 0, 0, 0, 0, 0, 25, 28, 0, 10, 1, 0, 0, 0, 105, 140, 37, 50, 8, 1, 8, 14, 58, 140, 140, 1, 1, 2, 36, 41, 140, 140, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 3, 0, 0, 0, 0, 0, 8, 23, 14, 0, 0, 0, 0, 0, 37, 60, 2;
  7, 5, 5, 2, 3, 127, 134, 8, 69, 10, 2, 3, 4, 134, 97, 66, 134, 23, 1, 0, 0, 1, 8, 76, 11, 2, 0, 0, 0, 0, 0, 1, 9, 60, 134, 26, 6, 32, 11, 2, 17, 41, 134, 134, 15, 54, 30, 16, 113, 134, 50, 10, 0, 1, 4, 19, 7, 13, 0, 0, 0, 0, 0, 0, 0, 25, 134, 8, 0, 0, 0, 0, 71, 23, 134, 50, 0, 0, 0, 5, 134, 46, 13, 3, 0, 0, 0, 24, 12, 2, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 13, 1, 1, 0, 0, 0, 0, 2, 41, 0, 0, 0, 0, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0;
  0, 5, 16, 1, 0, 0, 0, 0, 0, 7, 52, 11, 0, 0, 0, 0, 0, 16, 24, 12, 3, 0, 0, 0, 0, 1, 23, 27, 5, 0, 0, 0, 23, 91, 124, 10, 0, 2, 3, 16, 17, 74, 130, 90, 16, 19, 7, 7, 98, 130, 77, 20, 20, 8, 1, 4, 8, 5, 12, 32, 34, 18, 2, 1, 130, 31, 16, 17, 7, 8, 14, 127, 84, 23, 26, 99, 123, 61, 22, 44, 130, 73, 12, 6, 14, 6, 1, 38, 22, 8, 2, 0, 1, 5, 2, 3, 88, 8, 8, 25, 14, 25, 50, 75, 49, 7, 10, 96, 52, 50, 100, 62, 94, 37, 13, 3, 1, 0, 46, 72, 1, 4, 3, 0, 0, 0, 0, 0;
  1, 28, 114, 78, 19, 13, 10, 4, 2, 81, 119, 24, 2, 0, 3, 3, 7, 5, 13, 14, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 14, 29, 53, 72, 111, 38, 61, 24, 26, 119, 119, 15, 29, 110, 47, 17, 119, 88, 40, 9, 4, 6, 4, 37, 26, 1, 0, 0, 0, 0, 0, 3, 30, 119, 68, 58, 23, 15, 15, 15, 53, 115, 70, 8, 58, 119, 43, 62, 119, 17, 1, 0, 3, 16, 23, 119, 14, 0, 0, 0, 0, 0, 0, 3, 5, 52, 22, 1, 0, 0, 0, 2, 97, 88, 36, 1, 1, 0, 1, 39, 32, 10, 0, 0, 0, 0, 1, 14, 0, 0, 0, 0, 0, 0, 0, 0]
20[0, 0, 0, 83, 117, 4, 0, 0, 0, 0, 1, 58, 33, 5, 22, 14, 59, 5, 0, 3, 0, 2, 19, 63, 91, 25, 0, 0, 0, 0, 1, 117, 9, 3, 5, 117, 97, 3, 1, 4, 55, 6, 1, 9, 21, 13, 61, 88, 36, 25, 1, 8, 43, 57, 66, 27, 117, 117, 1, 2, 7, 2, 0, 6, 32, 6, 5, 60, 32, 36, 3, 11, 117, 22, 3, 9, 9, 9, 8, 55, 22, 8, 2, 43, 113, 52, 8, 13, 117, 23, 0, 5, 14, 5, 1, 40, 18, 0, 0, 0, 17, 117, 15, 17, 117, 0, 0, 0, 2, 23, 20, 82, 18, 0, 0, 2, 40, 117, 20, 20, 117, 2, 0, 1, 6, 29, 12, 43;
  109, 125, 9, 14, 70, 2, 0, 0, 88, 146, 3, 0, 0, 0, 0, 0, 7, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 133, 24, 66, 82, 5, 9, 9, 146, 146, 6, 0, 0, 0, 2, 21, 90, 29, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 21, 5, 1, 16, 14, 18, 146, 70, 146, 13, 0, 0, 0, 0, 84, 146, 84, 1, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 146, 15, 5, 0, 0, 0, 0, 0, 74, 72, 5, 0, 0, 0, 0, 0, 1, 14, 0, 0, 0, 0, 0, 0, 0, 0;
  3, 1, 1, 20, 51, 113, 48, 9, 121, 70, 6, 15, 17, 12, 14, 34, 82, 37, 0, 0, 0, 0, 0, 6, 2, 0, 0, 0, 0, 0, 0, 0, 7, 5, 9, 126, 123, 7, 0, 0, 126, 42, 7, 47, 30, 1, 0, 43, 126, 16, 0, 0, 0, 0, 0, 30, 3, 0, 0, 0, 0, 0, 0, 1, 11, 17, 46, 126, 33, 8, 3, 2, 126, 126, 8, 21, 4, 1, 1, 19, 126, 59, 0, 0, 0, 0, 0, 10, 4, 1, 0, 0, 0, 0, 0, 0, 4, 2, 5, 17, 6, 96, 111, 14, 126, 15, 1, 1, 0, 8, 55, 126, 104, 5, 0, 0, 0, 0, 0, 61, 3, 0, 0, 0, 0, 0, 0, 1;
